File: distribuidor_dashboard.json | Panel: Regulación de Ciclos - M11 (%) (102) | rawSql contains keyword
File: distribuidor_dashboard.json | Panel: Regulación de Ciclos - XL (%) (104) | rawSql contains keyword
File: distribuidor_dashboard.json | Panel: Regulación de Ciclos - M2 (%) (106) | rawSql contains keyword
File: distribuidor_dashboard.json | Panel: Tiempos Medidos y Límites (Segundos) (108) | rawSql contains keyword
File: distribuidor_dashboard.json | Panel: Estabilidad de Ciclos - M11 (%) (111) | rawSql contains keyword
File: distribuidor_dashboard.json | Panel: Estabilidad de Ciclos - XL (%) (113) | rawSql contains keyword
File: distribuidor_dashboard.json | Panel: Estabilidad de Ciclos - M2 (%) (115) | rawSql contains keyword
File: plan_dashboard.json | Panel: SECUENCIAS PLANIFICADAS (TEÓRICO) (1) | rawSql contains keyword
File: plan_dashboard.json | Panel: SECUENCIAS COMPLETADAS (REAL) (2) | rawSql contains keyword
File: plan_dashboard.json | Panel: DESVIACIÓN (REAL - TEÓRICO) (3) | rawSql contains keyword
File: plan_dashboard.json | Panel: EVOLUCIÓN PLAN DE PRODUCCIÓN (PLAN vs REAL) (4) | rawSql contains keyword
File: plan_dashboard.json | Panel: EVOLUCIÓN PLAN DE PRODUCCIÓN (PLAN vs REAL) (4) | rawSql contains keyword
File: plan_dashboard.json | Panel: LISTADO DE SECUENCIAS (PLAN vs REAL) (5) | rawSql contains keyword
File: plan_dashboard.json | Panel: Plan de Producción por Secuencias (Teórico vs Real) (10) | rawSql contains keyword
File: registro_dashboard.json | Panel: 📋 LISTADO DE SECUENCIAS (20) | rawSql contains keyword
File: registro_dashboard.json | Panel: 🟢 REGISTRO DETALLADO DE PRUEBAS OK (9) | rawSql contains keyword
File: registro_dashboard.json | Panel: 🔴 REGISTRO DETALLADO DE PRUEBAS NOK (16) | rawSql contains keyword
File: registro_dashboard.json | Panel: 📊 RESUMEN DE PRODUCCIÓN POR TIPO DE MÁQUINA (OK / NOK) (21) | rawSql contains keyword
File: registro_dashboard.json | Panel: 📋 RESUMEN DE PRUEBAS POR MÁQUINA (OK / NOK) (22) | rawSql contains keyword
